Player;MP;ORB;AST;STL;BLK;TOV;PTS;FG%;3P%;FT%
Anthony Davis;10741;863;987;389;674;684;7739;.532;.282;.794
Brad Davis;399;4;92;17;2;41;101;.458;;.758
Ed Davis;1840;230;94;49;98;58;656;.601;;.487
Luol Deng;1499;63;75;49;20;44;427;.387;.309;.730
Corky Devlin;1248;;167;;;;473;.348;;.773
Ernie DiGregorio;332;5;71;6;0;46;98;.410;;.800
Spencer Dinwiddie;678;4;68;13;13;29;191;.397;.389;.880
Vlade Divac;15517;1438;1375;649;834;1167;6531;.509;.229;.707
Luka Don?i?;984;24;211;45;12;104;789;.438;.379;.791
Sekou Doumbouya;16;2;0;3;2;2;14;.625;.500;.750
Larry Drew;1829;17;335;62;5;144;557;.441;.404;.768
Andre Drummond;520;65;30;23;20;43;250;.531;;.605
Jared Dudley;445;10;33;16;4;10;74;.377;.417;1.000
Chris Duhon;820;11;133;20;1;40;133;.382;.363;.462
Walter Dukes;1866;;54;;;;720;.364;;.689
Jack Dwan;;;129;;;;276;.318;;.493
Devin Ebanks;711;51;24;18;12;35;224;.385;.222;.722
James Edwards;1809;85;92;30;38;138;908;.458;;.677
Johnny Egan;3432;;431;;;;1225;.424;;.839
Ray Ellefson;;;0;;;;2;.200;;
Wayne Ellington;2485;41;135;56;7;69;937;.412;.379;.813
Boo Ellis;1873;;86;;;;607;.402;;.695
Leroy Ellis;8569;;259;;;;3249;.429;;.691
Tyler Ennis;1075;24;157;49;12;59;394;.432;.318;.804
Bo Erias;401;;26;;;;148;.347;;.638
Keith Erickson;8183;;903;;;;2851;.447;;.743
Maurice Evans;1828;97;86;43;15;57;669;.426;.350;.788
Christian Eyenga;19;1;1;0;1;1;8;.500;.000;1.000
John Fairchild;171;;11;;;;60;.258;;.700
Jordan Farmar;6358;117;843;268;41;435;2492;.429;.372;.671
Ron Feiereisel;59;;6;;;;30;.286;;.875
Ray Felix;3684;;121;;;;1206;.398;;.687
Arnie Ferrin;;;278;;;;1037;.332;;.686
Hank Finkel;141;;5;;;;41;.362;;.583
Dorian Finney-Smith;1239;49;59;40;11;38;341;.442;.398;.714
Derek Fisher;23211;294;2685;968;73;974;7223;.402;.375;.799
Ed Fleming;3231;;266;;;;1265;.368;;.722
Don Ford;7685;435;523;240;121;211;2618;.468;;.759
Donnie Forman;;;74;;;;179;.294;;.642
Greg Foster;451;29;32;9;12;25;125;.421;.333;.714
Larry Foust;5531;;273;;;;2715;.393;;.765
Rick Fox;12733;430;1399;415;152;781;4207;.436;.345;.767
Donnie Freeman;1480;72;171;57;11;;689;.434;;.819
Jim Fritsche;8;;0;;;;1;.000;;.250
Channing Frye;150;2;10;1;1;4;52;.465;.360;.750
Alex Fudge;14;2;0;0;0;1;4;.167;.000;1.000
Wenyen Gabriel;1335;150;48;30;44;59;499;.571;.271;.615
Earl Gardner;;;19;;;;89;.376;;.464
Dick Garmaker;9172;;821;;;;4156;.391;;.786
Calvin Garrett;478;24;31;12;2;34;188;.513;.333;.769
Dick Garrett;2318;;180;;;;846;.434;;.852
Marc Gasol;993;38;109;26;58;53;262;.454;.410;.720
Pau Gasol;15326;1252;1508;239;607;873;7610;.522;.263;.780
Devean George;8109;415;428;307;173;340;2572;.392;.340;.718
Mel Gibson;53;;6;;;;13;.300;;.500
Harry Giles;19;0;0;1;0;0;2;.167;.000;
Normie Glick;;;0;;;;2;1.000;;
Gail Goodrich;21765;285;2863;351;35;;13044;.460;;.817
Jordan Goodwin;512;36;38;28;11;24;149;.446;.381;.818
Andrew Goudelock;425;6;20;4;0;21;175;.386;.373;.917
Brian Grant;1136;101;34;23;23;43;263;.493;;.722
Bud Grant;;;90;;;;249;.318;;.590
Horace Grant;3496;299;192;75;82;77;880;.448;.000;.762
Travis Grant;159;0;7;0;0;;128;.433;;.828
A.C. Green;21451;2089;808;657;395;935;7789;.503;.245;.747
Danny Green;1687;51;91;85;32;63;547;.416;.367;.688
Devin Green;135;10;7;3;0;5;25;.214;.000;.619
Jerry Grote;33;;4;;;;14;.545;;1.000
Pétur Guðmundsson;128;17;3;3;4;11;58;.541;;.667
Rui Hachimura;4433;171;187;94;65;112;2015;.517;.402;.747
Happy Hairston;13670;639;920;116;28;;5993;.482;;.785
Jack Haley;394;31;7;7;8;25;76;.369;;.483
Dennis Hamilton;378;;30;;;;121;.500;;1.000
Steve Hamilton;1094;;43;;;;368;.372;;.697
Alan Hardy;111;8;3;1;9;11;51;.373;;.700
Derek Harper;1120;13;187;44;4;52;309;.412;.368;.813
Ron Harper;3181;142;383;124;64;194;864;.423;.292;.687
Montrezl Harrell;1580;158;73;46;49;74;931;.622;.000;.707
Elias Harris;11;1;1;1;0;0;0;.000;;
Manny Harris;180;7;11;4;1;9;73;.400;.350;.833
Bob Harrison;3974;;730;;;;1754;.346;;.701
Josh Hart;3176;77;173;111;56;105;1021;.435;.361;.695
Antonio Harvey;819;65;28;23;60;42;249;.416;1.000;.507
Billy Hassett;;;69;;;;111;.262;;.522
Connie Hawkins;3564;216;499;156;101;;1255;.480;;.746
Tom Hawkins;10984;;518;;;;4084;.449;;.560
Nate Hawthorne;229;16;23;9;6;;106;.409;;.625
Jaxson Hayes;1970;147;91;65;80;86;686;.721;.000;.622
Nigel Hayes;11;0;2;0;0;0;3;.333;.000;1.000
Spencer Haywood;1544;132;93;35;57;134;736;.487;.250;.772
Walt Hazzard;4759;;856;;;;2109;.435;;.707
Jerome Henderson;3;0;0;0;0;0;4;.667;;
Xavier Henry;994;27;54;47;7;60;452;.411;.346;.647
Fred Hetzel;613;;37;;;;282;.434;;.779
Bill Hewitt;1933;;104;;;;605;.429;;.562
Roy Hibbert;1878;132;95;32;110;76;481;.443;.000;.807
Mike Higgins;18;1;1;1;2;0;1;;;.500
Jordan Hill;3914;464;172;76;141;214;1764;.495;.214;.701
Lew Hitch;3328;;216;;;;864;.378;;.681
D'Moi Hodge;41;0;5;1;1;1;14;.333;.250;.500
Brad Holland;492;13;45;36;2;44;236;.423;.222;.769
Jim Holstein;3124;;211;;;;787;.328;;.646
Jalen Hood-Schifino;123;3;9;3;3;10;38;.239;.133;.636
Johnny Horan;50;;1;;;;12;.250;;.800
Ron Horn;289;;10;;;;74;.329;;.690
Robert Horry;11367;807;986;497;446;526;2842;.421;.325;.744
Talen Horton-Tucker;2896;64;346;130;51;193;1216;.437;.276;.783
Dwight Howard;4999;541;188;149;301;356;2185;.616;.462;.519
Lou Hudson;3969;144;334;152;31;249;1891;.505;;.821
Marcelo Huertas;1106;20;234;36;9;99;300;.409;.250;.783
